last_name,first_name,organization
Apel,E. C.,NCAR
Arrigo,Kevin,Stanford University
Asher,E.,NCAR
Atlas,E. L.,University of Miami
Aumont,Olivier,"LOCEAN, CNRS"
Badia,Alba,University of Barcelona
Barletta,Barbara,"University of California, Irvine"
Bates,S. C.,NCAR
Behrenfeld,Michael J.,OSU
Bent,Jonathan D.,NCAR
Blake,Donald R.,"University of California, Santa Cruz"
Bopp,L.,IPSL
Boss,Emmanuel S.,U Maine
Brady,Riley,McKinsey & Company
Brett,G,Johns Hopkins APL
Britten,Gregory L.,MIT
Brooks,M.,Scripps
Brooks,Cassandra,"University of Colorado, Boulder"
Bryan,F O,NCAR
Caldeira,Ken,Stanford University
Cantarero,Sebastian,"University of Colorado, Boulder"
Chase,Alison P,University of Maine
Christian,James,Canadian Centre for Climate Modelling and Analysis
Danabasoglu,G.,NCAR
Deutsch,C.,Princeton
Doney,Scott C,WHOI
DuVivier,Alice K,NCAR
Dunbar,Robert,Stanford University
Dunne,John,GFDL
Eddebar,Yassir,Scripps University
Eddebbar,Yassir A.,UCSD
Emmons,Louisa K.,NCAR
Eveleth,Rachel,Oberlin
Feloy,K.,U Hawaii
Frank,Boudinot,"University of Colorado, Boulder"
Freeman,Natalie M.,Scripps
Frenger,Ivy,GEOMAR
Frölicher,Thomas L.,ETH
Fu,Weiwei,"University of California, Irvine"
Gaube,Peter,WHOI
Gienapp,P,Netherlands Institute of Ecology
Glover,David M,WHOI
Graven,H D,Imperial College London
Grooms,Ian,CU Boulder
Grover,Maxwell,NCAR
Harrison,Cheryl S,U Texas
Hoecker-Martínez,M. S.,University of Redlands
Hoffman,Forrest,DOE
Hornbrook,Rebecca S.,NCAR
Hossaini,Ryan,Lancaster University
Iglesias-Suarez,Fernando,German Aerospace Center
Ilyina,Tatiana,MPI
Ito,Takamitsu,Georgia Tech
Jenouvrier,S,WHOI
Jin,Yuming,Scripps
John,Jasmin,GFDL
Karspeck,A. R.,Fabric RQ
Keeling,Ralph F.,UCSD
Khatiwala,S.,Oxford
Kinnison,D.,NCAR
Koeve,W.,GEOMAR
Kort,E. A.,U. Mich
Krumhardt,Kristen M.,NCAR
Lamarque,Jean-Fran\c cois,NCAR
Large,William G,NCAR
Lester,J G,Imperial College London
Letscher,Robert T,UNH
Levy,M N,NCAR
Lima,Ivan D,WHOI
Lindner,M,Netherlands Institute of Ecology
Lindsay,K.,NCAR
Lovenduski,Nicole,U. Colorado
Luo,Jessica Y,GFDL
Maclennan,Michelle,"University of Colorado, Boulder"
Mahowald,Natalie,Cornell
Manizza,Manfredi,Scripps
Marshall,John,MIT
Mazloff,M R,Scripps
McGillicuddy,Dennis J.,WHOI
McKain,Kathryn,NOAA/CU Boulder
Meehl,G. A.,NCAR
Meinardi,Simone,NASA
Merrifield,M A,Scripps
Mikaloff-Fletcher,Sara E.,NIWA
Minobe,Shoshiro,"University, Sapporo, Japan"
Misumi,K,"Central Research Institute of Electric Power Industry, Japan"
Montzka,Stephen A.,NOAA
Moore,J K,UCI
Munro,David R.,CU Boulder
Nevison,Cynthia D.,CU Boulder
Oschlies,A.,GEOMAR
Primeau,Francois,UCI
Putman,Nathan F,LGL
Randerson,James T.,"University of California, Irvine"
Resplandy,Laure,Scripps
Richards,K. J.,U Hawaii
Rodgers,Keith B.,Princeton
Rohr,Tyler,MIT/WHOI
Rosenbloom,N. A.,NCAR
Rödenbeck,C.,Max Planck Institute for Biogeochemistry
Saiz-Lopez,Alfonso,Instituto de Química Física Rocasolano
Sarmiento,Jorge L.,Princeton
Schauffler,S. M.,NCAR
Schlunegger,Sarah,Princeton
Sheevam,Pooja,"University of Nevada, Reno"
Slater,Richard,Princeton University
Small,R Justin,NCAR
Song,Hajoon,MIT
Stephens,B. B.,NCAR
Stevens,Jessica,University of Texas Rio Grande Valley 
Strand,W.,NCAR
Subramanian,Aneesh C.,"University of Colorado, Boulder"
Sun,Daoxun,Georgia Tech
Sweeney,C.,NOAA
Sylvester,Zephyr,"University of Colorado, Boulder"
Takano,Yohei,"Los Alamos National Lab, DOE"
Tans,P.,NOAA
Teng,H.,NCAR
Tilmes,S.,NCAR
Verdy,A,Scripps
Visser,ME,Netherlands Institute of Ecology
Wang,Siyuan,NOAA
Whitt,Daniel B,NASA/AIMES
Xie,Shang-Ping,Scripps
Yang,Bo,NOAA
Yeager,Stephen G.,NCAR
